class,mean_cat_similarity,std_cat_similarity,max_cat_similarity,top_non_cat_count
airplane,0.19292713701725006,0.014127274043858051,0.2394084632396698,0
automobile,0.18807126581668854,0.011499050073325634,0.22295290231704712,0
bird,0.21623648703098297,0.01350236963480711,0.2741667628288269,14
cat,0.25829049944877625,0.01777123473584652,0.2881922721862793,0
deer,0.21642592549324036,0.016370141878724098,0.28280189633369446,13
dog,0.22721810638904572,0.016342246904969215,0.28331688046455383,46
frog,0.2234973907470703,0.015151814557611942,0.27337807416915894,25
horse,0.20474481582641602,0.013481678441166878,0.2756361663341522,2
ship,0.18630492687225342,0.012194105423986912,0.2414124608039856,0
truck,0.1853390634059906,0.010338579304516315,0.22400540113449097,0
