rank,dataset_index,true_label,predicted_label,cat_similarity,dog_similarity,cat_dog_margin,is_true_cat
1,5639,cat,cat,0.288192,0.253525,0.034667,True
2,1124,cat,cat,0.287143,0.263675,0.023469,True
3,8114,cat,cat,0.286270,0.259803,0.026467,True
4,4520,cat,cat,0.285785,0.258396,0.027389,True
5,9647,cat,cat,0.285696,0.243764,0.041932,True
6,8331,cat,cat,0.285611,0.265482,0.020129,True
7,5343,cat,cat,0.284851,0.258340,0.026511,True
8,1219,cat,cat,0.284640,0.249011,0.035630,True
9,6994,cat,cat,0.284506,0.265887,0.018619,True
10,1334,cat,cat,0.284388,0.277700,0.006688,True
11,3714,cat,cat,0.284353,0.249085,0.035268,True
12,4876,cat,cat,0.284306,0.255042,0.029264,True
13,2489,cat,cat,0.283836,0.254929,0.028907,True
14,2268,cat,cat,0.283769,0.246505,0.037263,True
15,4553,cat,cat,0.283639,0.252509,0.031130,True
16,1385,dog,cat,0.283317,0.257205,0.026112,False
17,849,deer,cat,0.282802,0.261496,0.021306,False
18,5934,cat,cat,0.282718,0.240260,0.042459,True
19,9260,dog,cat,0.282648,0.264120,0.018528,False
20,1208,cat,cat,0.282632,0.263908,0.018723,True
21,2775,cat,cat,0.282454,0.271282,0.011172,True
22,3023,cat,cat,0.282268,0.250639,0.031629,True
23,6744,cat,cat,0.282185,0.256820,0.025365,True
24,8665,cat,cat,0.281966,0.252891,0.029075,True
25,4938,cat,cat,0.281769,0.252985,0.028784,True
26,986,cat,cat,0.281545,0.262791,0.018754,True
27,7924,cat,cat,0.280958,0.252312,0.028645,True
28,5493,cat,cat,0.280844,0.255885,0.024959,True
29,5387,cat,cat,0.280835,0.258221,0.022615,True
30,3038,cat,cat,0.280786,0.261095,0.019691,True
31,6237,cat,cat,0.280758,0.236580,0.044177,True
32,2144,cat,cat,0.280715,0.237642,0.043074,True
33,5128,cat,cat,0.280611,0.237963,0.042648,True
34,4147,cat,cat,0.280300,0.238127,0.042173,True
35,5237,deer,cat,0.280227,0.268039,0.012188,False
36,6060,cat,cat,0.280174,0.269384,0.010790,True
37,7036,cat,cat,0.280071,0.240358,0.039712,True
38,2107,cat,cat,0.279974,0.248574,0.031401,True
39,2233,cat,cat,0.279858,0.245318,0.034540,True
40,2878,cat,cat,0.279789,0.253544,0.026244,True
41,6514,cat,cat,0.279773,0.269009,0.010765,True
42,2617,cat,cat,0.279485,0.255136,0.024349,True
43,1538,cat,cat,0.279464,0.283634,-0.004170,True
44,8172,dog,cat,0.279433,0.270833,0.008601,False
45,5486,cat,cat,0.279160,0.252378,0.026781,True
46,1597,cat,cat,0.279121,0.256553,0.022568,True
47,4050,cat,cat,0.279103,0.240888,0.038216,True
48,2453,cat,cat,0.279021,0.251752,0.027269,True
49,9308,cat,cat,0.278989,0.260900,0.018089,True
50,6213,cat,cat,0.278948,0.248309,0.030640,True
51,558,cat,cat,0.278904,0.243384,0.035520,True
52,5559,cat,cat,0.278867,0.250703,0.028164,True
53,1883,cat,cat,0.278819,0.257405,0.021414,True
54,3065,cat,cat,0.278717,0.276161,0.002555,True
55,8600,cat,cat,0.278532,0.263498,0.015035,True
56,4169,cat,cat,0.278317,0.244626,0.033690,True
57,669,cat,cat,0.278270,0.243320,0.034950,True
58,4467,cat,cat,0.278214,0.271621,0.006594,True
59,7518,cat,cat,0.278166,0.251653,0.026513,True
60,7143,deer,cat,0.278102,0.254819,0.023283,False
61,8491,cat,cat,0.278099,0.246855,0.031244,True
62,438,cat,cat,0.277978,0.259243,0.018735,True
63,7879,cat,cat,0.277919,0.249147,0.028772,True
64,9578,cat,cat,0.277918,0.252129,0.025789,True
65,7310,cat,cat,0.277871,0.244383,0.033488,True
66,5313,cat,cat,0.277856,0.249331,0.028525,True
67,5506,cat,cat,0.277785,0.263088,0.014697,True
68,3859,cat,cat,0.277759,0.252540,0.025219,True
69,1346,cat,cat,0.277728,0.258308,0.019420,True
70,2314,cat,cat,0.277647,0.271209,0.006438,True
71,7212,cat,cat,0.277341,0.246719,0.030623,True
72,2054,cat,cat,0.277328,0.236721,0.040607,True
73,6538,cat,cat,0.277324,0.256288,0.021035,True
74,5874,cat,cat,0.277162,0.254172,0.022990,True
75,2706,cat,cat,0.277136,0.248504,0.028631,True
76,295,deer,cat,0.277113,0.253643,0.023471,False
77,2543,cat,cat,0.276990,0.262471,0.014520,True
78,7014,cat,cat,0.276889,0.252191,0.024698,True
79,2795,cat,cat,0.276828,0.269639,0.007190,True
80,1794,cat,cat,0.276596,0.268939,0.007657,True
81,3867,cat,cat,0.276518,0.256578,0.019940,True
82,6460,cat,cat,0.276452,0.230938,0.045514,True
83,6439,cat,cat,0.276397,0.245872,0.030525,True
84,5433,cat,cat,0.276283,0.276352,-0.000069,True
85,5490,cat,cat,0.276270,0.240143,0.036127,True
86,9375,cat,cat,0.276152,0.246287,0.029865,True
87,9380,dog,cat,0.276096,0.264933,0.011163,False
88,1088,cat,cat,0.276093,0.255335,0.020757,True
89,2823,cat,cat,0.276080,0.260571,0.015509,True
90,5754,cat,cat,0.276054,0.250454,0.025600,True
91,2752,cat,cat,0.275972,0.256094,0.019878,True
92,7145,cat,cat,0.275923,0.244503,0.031420,True
93,4665,cat,cat,0.275917,0.255344,0.020574,True
94,2633,cat,cat,0.275864,0.243005,0.032859,True
95,664,cat,cat,0.275804,0.253904,0.021900,True
96,3614,cat,cat,0.275802,0.266763,0.009039,True
97,2444,cat,cat,0.275677,0.251656,0.024021,True
98,456,cat,cat,0.275644,0.251242,0.024402,True
99,7853,cat,cat,0.275640,0.256006,0.019634,True
100,9103,horse,cat,0.275636,0.278161,-0.002525,False
101,7377,cat,cat,0.275635,0.249156,0.026478,True
102,1957,cat,cat,0.275599,0.270125,0.005474,True
103,6680,cat,cat,0.275545,0.251357,0.024188,True
104,2660,cat,cat,0.275479,0.262219,0.013260,True
105,141,dog,cat,0.275437,0.270158,0.005279,False
106,9089,cat,cat,0.275420,0.272260,0.003160,True
107,6075,cat,cat,0.275351,0.258390,0.016962,True
108,7910,cat,cat,0.275339,0.241726,0.033613,True
109,6340,cat,cat,0.275325,0.240332,0.034993,True
110,4687,cat,cat,0.275262,0.265585,0.009677,True
111,2585,cat,cat,0.275241,0.266786,0.008455,True
112,2684,cat,cat,0.275199,0.264389,0.010809,True
113,4190,cat,cat,0.275163,0.260434,0.014728,True
114,8601,cat,cat,0.275119,0.251531,0.023588,True
115,1782,cat,cat,0.275100,0.254408,0.020693,True
116,8662,cat,cat,0.275053,0.247406,0.027647,True
117,8219,cat,cat,0.275052,0.248959,0.026092,True
118,948,cat,cat,0.275051,0.236855,0.038196,True
119,2822,cat,cat,0.275050,0.248943,0.026106,True
120,1416,cat,cat,0.275006,0.241455,0.033551,True
121,1274,cat,cat,0.274881,0.241949,0.032932,True
122,6938,cat,cat,0.274845,0.237499,0.037346,True
123,7224,cat,cat,0.274812,0.248076,0.026736,True
124,2598,cat,cat,0.274812,0.263235,0.011577,True
125,878,cat,cat,0.274796,0.276155,-0.001359,True
126,4581,cat,cat,0.274755,0.259471,0.015284,True
127,4589,cat,cat,0.274753,0.250807,0.023946,True
128,8203,cat,cat,0.274716,0.243173,0.031543,True
129,320,cat,cat,0.274640,0.243603,0.031037,True
130,8019,cat,cat,0.274616,0.243748,0.030868,True
131,2034,cat,cat,0.274399,0.254336,0.020063,True
132,2173,cat,cat,0.274364,0.253477,0.020887,True
133,5769,cat,cat,0.274361,0.247076,0.027285,True
134,8324,cat,cat,0.274358,0.251911,0.022447,True
135,9228,cat,cat,0.274298,0.247914,0.026383,True
136,5011,cat,cat,0.274293,0.235931,0.038362,True
137,5426,dog,cat,0.274288,0.256226,0.018063,False
138,7221,cat,cat,0.274235,0.253242,0.020994,True
139,4400,cat,cat,0.274220,0.247007,0.027213,True
140,8668,cat,cat,0.274170,0.232788,0.041382,True
141,3728,bird,cat,0.274167,0.257538,0.016629,False
142,245,cat,cat,0.274145,0.258916,0.015230,True
143,5625,dog,cat,0.274136,0.269010,0.005126,False
144,8616,cat,cat,0.274122,0.238732,0.035390,True
145,9388,cat,cat,0.274119,0.243954,0.030165,True
146,8848,cat,cat,0.274089,0.262182,0.011908,True
147,121,cat,cat,0.274080,0.254884,0.019196,True
148,9950,cat,cat,0.274068,0.256674,0.017394,True
149,4334,cat,cat,0.274049,0.258790,0.015258,True
150,9994,cat,cat,0.274022,0.248626,0.025396,True
151,9190,cat,cat,0.274019,0.245095,0.028924,True
152,412,cat,cat,0.273947,0.276445,-0.002497,True
153,4845,cat,cat,0.273919,0.224772,0.049148,True
154,2372,dog,cat,0.273887,0.253285,0.020602,False
155,9080,cat,cat,0.273847,0.254287,0.019560,True
156,4282,cat,cat,0.273830,0.253638,0.020192,True
157,5817,cat,cat,0.273828,0.269885,0.003943,True
158,1787,cat,cat,0.273805,0.241781,0.032024,True
159,5773,cat,cat,0.273784,0.242046,0.031738,True
160,4266,cat,cat,0.273779,0.258746,0.015033,True
161,3594,cat,cat,0.273718,0.275150,-0.001432,True
162,1070,cat,cat,0.273710,0.247431,0.026279,True
163,8251,cat,cat,0.273628,0.238592,0.035036,True
164,5592,cat,cat,0.273622,0.240793,0.032829,True
165,2733,cat,cat,0.273581,0.238160,0.035421,True
166,8815,cat,cat,0.273476,0.243469,0.030007,True
167,2612,cat,cat,0.273451,0.251971,0.021480,True
168,46,cat,cat,0.273424,0.266599,0.006825,True
169,7401,cat,cat,0.273421,0.262982,0.010439,True
170,9730,frog,cat,0.273378,0.250091,0.023287,False
171,6590,dog,cat,0.273320,0.269191,0.004128,False
172,9157,cat,cat,0.273269,0.247252,0.026017,True
173,8983,cat,cat,0.273260,0.238522,0.034738,True
174,8326,cat,cat,0.273255,0.261577,0.011678,True
175,3413,cat,cat,0.273254,0.252696,0.020558,True
176,4975,cat,cat,0.273236,0.252832,0.020405,True
177,874,cat,cat,0.273233,0.251909,0.021325,True
178,8824,cat,cat,0.273134,0.252778,0.020356,True
179,5281,cat,cat,0.273122,0.271528,0.001594,True
180,870,cat,cat,0.273116,0.262050,0.011066,True
181,2362,cat,cat,0.273102,0.268157,0.004945,True
182,3194,cat,cat,0.273079,0.250290,0.022789,True
183,8281,cat,cat,0.273067,0.250273,0.022794,True
184,4248,cat,cat,0.273065,0.243119,0.029946,True
185,6793,cat,cat,0.273048,0.257885,0.015163,True
186,4906,dog,cat,0.273040,0.264060,0.008980,False
187,6732,cat,cat,0.273011,0.252255,0.020757,True
188,4043,cat,cat,0.272982,0.243159,0.029823,True
189,3654,cat,cat,0.272959,0.264531,0.008428,True
190,7367,cat,cat,0.272947,0.248412,0.024535,True
191,7352,cat,cat,0.272932,0.257242,0.015689,True
192,2252,cat,cat,0.272905,0.243797,0.029108,True
193,5340,cat,cat,0.272806,0.239305,0.033500,True
194,6009,cat,cat,0.272793,0.244497,0.028296,True
195,2076,cat,cat,0.272681,0.253222,0.019459,True
196,5361,cat,cat,0.272661,0.255004,0.017657,True
197,6530,cat,cat,0.272647,0.252916,0.019730,True
198,9437,cat,cat,0.272646,0.274153,-0.001507,True
199,7207,cat,cat,0.272635,0.241319,0.031316,True
200,7780,cat,cat,0.272547,0.249096,0.023451,True
201,4526,cat,cat,0.272543,0.248425,0.024117,True
202,2759,cat,cat,0.272534,0.243677,0.028857,True
203,9250,cat,cat,0.272521,0.239622,0.032900,True
204,91,cat,cat,0.272512,0.238914,0.033598,True
205,998,cat,cat,0.272472,0.241874,0.030598,True
206,8594,cat,cat,0.272414,0.237061,0.035353,True
207,336,cat,cat,0.272389,0.247897,0.024492,True
208,7574,cat,cat,0.272366,0.249238,0.023128,True
209,825,cat,cat,0.272331,0.255580,0.016751,True
210,7881,cat,cat,0.272324,0.242194,0.030130,True
211,8112,cat,cat,0.272213,0.238840,0.033372,True
212,143,cat,cat,0.272170,0.256836,0.015334,True
213,6461,deer,cat,0.272161,0.273213,-0.001051,False
214,1129,cat,cat,0.272132,0.261090,0.011041,True
215,1830,cat,cat,0.272121,0.240426,0.031695,True
216,1733,cat,dog,0.272114,0.288791,-0.016676,True
217,8382,cat,cat,0.272013,0.243413,0.028600,True
218,7378,cat,cat,0.271907,0.268521,0.003387,True
219,7489,cat,cat,0.271877,0.262986,0.008891,True
220,8446,cat,cat,0.271795,0.276927,-0.005132,True
221,2422,cat,cat,0.271789,0.245273,0.026516,True
222,2506,cat,cat,0.271777,0.226688,0.045089,True
223,8245,cat,cat,0.271737,0.253614,0.018124,True
224,1166,cat,cat,0.271690,0.246129,0.025560,True
225,6175,cat,cat,0.271682,0.231239,0.040444,True
226,7743,cat,cat,0.271672,0.261405,0.010268,True
227,6064,dog,cat,0.271619,0.265120,0.006499,False
228,2049,cat,cat,0.271611,0.253256,0.018355,True
229,8658,cat,cat,0.271576,0.237438,0.034138,True
230,6293,cat,cat,0.271572,0.237795,0.033776,True
231,8401,cat,cat,0.271570,0.267245,0.004325,True
232,7783,cat,cat,0.271558,0.239940,0.031618,True
233,573,cat,cat,0.271521,0.244427,0.027094,True
234,607,cat,cat,0.271518,0.248614,0.022905,True
235,9979,cat,cat,0.271487,0.237744,0.033743,True
236,1179,cat,cat,0.271484,0.251291,0.020193,True
237,3633,cat,cat,0.271482,0.256099,0.015383,True
238,4997,cat,cat,0.271452,0.243193,0.028259,True
239,9404,cat,cat,0.271425,0.241227,0.030198,True
240,4107,cat,cat,0.271419,0.236360,0.035058,True
241,1053,cat,cat,0.271390,0.250092,0.021298,True
242,8271,cat,cat,0.271366,0.251757,0.019608,True
243,5478,cat,cat,0.271362,0.248130,0.023233,True
244,3129,cat,cat,0.271333,0.229246,0.042088,True
245,2253,cat,cat,0.271305,0.255381,0.015924,True
246,910,dog,cat,0.271204,0.259946,0.011258,False
247,2720,cat,cat,0.271173,0.242855,0.028318,True
248,6201,cat,cat,0.271154,0.263251,0.007903,True
249,1411,cat,cat,0.271119,0.238574,0.032545,True
250,7545,dog,cat,0.271041,0.243072,0.027969,False
251,1715,cat,cat,0.271025,0.245806,0.025219,True
252,8201,cat,cat,0.270950,0.242598,0.028352,True
253,9505,cat,cat,0.270927,0.246622,0.024304,True
254,7475,cat,cat,0.270891,0.245970,0.024921,True
255,3743,cat,cat,0.270843,0.273382,-0.002539,True
256,4886,cat,cat,0.270826,0.240399,0.030428,True
257,3928,cat,cat,0.270792,0.242092,0.028700,True
258,187,cat,cat,0.270740,0.247306,0.023434,True
259,3584,cat,cat,0.270739,0.239355,0.031383,True
260,4277,cat,cat,0.270723,0.259406,0.011317,True
261,7866,frog,cat,0.270712,0.251756,0.018957,False
262,7825,cat,cat,0.270589,0.227460,0.043129,True
263,7440,cat,cat,0.270567,0.255725,0.014842,True
264,4148,cat,cat,0.270562,0.256964,0.013597,True
265,184,cat,cat,0.270561,0.252576,0.017985,True
266,4918,cat,cat,0.270520,0.240904,0.029615,True
267,7772,cat,cat,0.270488,0.233217,0.037271,True
268,3906,cat,cat,0.270481,0.240728,0.029753,True
269,467,cat,cat,0.270480,0.230764,0.039716,True
270,8072,cat,cat,0.270389,0.248745,0.021644,True
271,5040,cat,cat,0.270317,0.251837,0.018479,True
272,5050,cat,cat,0.270263,0.245130,0.025134,True
273,5936,frog,cat,0.270224,0.243900,0.026324,False
274,8161,dog,cat,0.270222,0.265012,0.005209,False
275,61,cat,cat,0.270221,0.272466,-0.002245,True
276,7174,cat,cat,0.270215,0.233563,0.036652,True
277,5161,cat,cat,0.270143,0.243106,0.027037,True
278,1168,cat,cat,0.270137,0.243307,0.026830,True
