class_id,label,correct,total,accuracy_percent
n01440764,tench,365,387,94.31524276733398
n02102040,English springer,367,395,92.91139245033264
n02979186,cassette player,314,357,87.95518279075623
n03000684,chain saw,243,386,62.953370809555054
n03028079,church,353,409,86.30806803703308
n03394916,French horn,342,394,86.80202960968018
n03417042,garbage truck,325,389,83.54755640029907
n03425413,gas pump,298,419,71.12171649932861
n03445777,golf ball,347,399,86.96742057800293
n03888257,parachute,326,390,83.5897445678711
