rank,dataset_index,true_label,predicted_label,cat_similarity,dog_similarity,cat_dog_margin,is_true_cat
16,1385,dog,cat,0.283317,0.257205,0.026112,False
17,849,deer,cat,0.282802,0.261496,0.021306,False
19,9260,dog,cat,0.282648,0.264120,0.018528,False
35,5237,deer,cat,0.280227,0.268039,0.012188,False
44,8172,dog,cat,0.279433,0.270833,0.008601,False
60,7143,deer,cat,0.278102,0.254819,0.023283,False
76,295,deer,cat,0.277113,0.253643,0.023471,False
87,9380,dog,cat,0.276096,0.264933,0.011163,False
100,9103,horse,cat,0.275636,0.278161,-0.002525,False
105,141,dog,cat,0.275437,0.270158,0.005279,False
137,5426,dog,cat,0.274288,0.256226,0.018063,False
141,3728,bird,cat,0.274167,0.257538,0.016629,False
143,5625,dog,cat,0.274136,0.269010,0.005126,False
154,2372,dog,cat,0.273887,0.253285,0.020602,False
170,9730,frog,cat,0.273378,0.250091,0.023287,False
171,6590,dog,cat,0.273320,0.269191,0.004128,False
186,4906,dog,cat,0.273040,0.264060,0.008980,False
213,6461,deer,cat,0.272161,0.273213,-0.001051,False
227,6064,dog,cat,0.271619,0.265120,0.006499,False
246,910,dog,cat,0.271204,0.259946,0.011258,False
250,7545,dog,cat,0.271041,0.243072,0.027969,False
261,7866,frog,cat,0.270712,0.251756,0.018957,False
273,5936,frog,cat,0.270224,0.243900,0.026324,False
274,8161,dog,cat,0.270222,0.265012,0.005209,False
295,5940,horse,horse,0.269594,0.257632,0.011962,False
306,3796,dog,cat,0.269276,0.273028,-0.003752,False
323,8755,frog,cat,0.268981,0.256643,0.012337,False
343,7131,frog,cat,0.268485,0.241428,0.027057,False
349,2162,dog,cat,0.268366,0.270501,-0.002135,False
368,5102,dog,cat,0.267660,0.279623,-0.011963,False
371,8316,dog,dog,0.267624,0.288632,-0.021008,False
382,1759,dog,cat,0.267352,0.278881,-0.011530,False
383,5001,frog,cat,0.267339,0.263542,0.003797,False
384,5830,dog,cat,0.267312,0.259739,0.007573,False
397,8858,frog,deer,0.266891,0.261553,0.005337,False
398,4970,bird,cat,0.266856,0.237917,0.028939,False
401,8745,dog,cat,0.266802,0.251246,0.015557,False
412,6068,dog,cat,0.266397,0.262568,0.003829,False
414,3887,bird,cat,0.266328,0.257874,0.008454,False
423,6183,dog,cat,0.266127,0.255858,0.010268,False
424,1620,dog,dog,0.266096,0.298109,-0.032013,False
428,3435,frog,cat,0.266048,0.244588,0.021460,False
438,3202,dog,dog,0.265758,0.281115,-0.015357,False
442,275,dog,cat,0.265710,0.265487,0.000223,False
443,6652,bird,cat,0.265698,0.251614,0.014084,False
449,925,dog,cat,0.265604,0.260794,0.004810,False
463,8160,frog,cat,0.265303,0.253575,0.011729,False
467,4119,frog,cat,0.265123,0.257867,0.007256,False
470,3543,frog,frog,0.265023,0.259044,0.005980,False
475,6778,bird,cat,0.264824,0.252246,0.012579,False
478,5341,frog,cat,0.264734,0.248530,0.016204,False
487,9300,dog,cat,0.264587,0.263454,0.001133,False
490,5113,frog,deer,0.264492,0.260562,0.003930,False
495,5886,bird,bird,0.264417,0.260106,0.004311,False
496,140,frog,cat,0.264384,0.254983,0.009402,False
501,6092,dog,dog,0.264318,0.281761,-0.017443,False
502,3083,dog,cat,0.264301,0.275840,-0.011540,False
514,7857,deer,deer,0.263882,0.264941,-0.001059,False
519,6646,dog,cat,0.263728,0.260446,0.003282,False
520,6422,deer,deer,0.263723,0.279615,-0.015891,False
526,5749,dog,cat,0.263574,0.274252,-0.010678,False
537,2299,frog,cat,0.263341,0.260933,0.002408,False
539,3696,deer,dog,0.263232,0.308716,-0.045484,False
540,4626,dog,dog,0.263222,0.273206,-0.009984,False
557,5101,dog,dog,0.262926,0.281291,-0.018365,False
568,3428,bird,cat,0.262663,0.249860,0.012803,False
